标题,开发商,房子信息,发布信息,售价/万,单价
房子是电梯房适合养老人居住人文素质高,蓝天中央公园 -市政府商圈,2室2厅 | 94.26平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼,0人关注 / 15天以前发布,57.5,"6,101元/平"
鼎立国际大阳台 户型方正 精致装修,鼎立国际城E区 -鼎立商圈,4室2厅 | 147.77平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 15天以前发布,103,"6,971元/平"
晖达新世界紫檀 3室2厅 南,晖达新世界紫檀 -西湖商圈,3室2厅 | 95.06平米 | 南 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 16天以前发布,65,"6,838元/平"
小北岗二层别墅 出行方便 院子里面可以进汽车,小北岗新村 -鼎立商圈,6室2厅 | 192.18平米 | 南 北 | 简装 | 低楼层(共2层)  | 暂无数据,2人关注 / 13天以前发布,102,"5,308元/平"
南北通透格局，有本无大税，楼层好采光佳,嘉泰新城 -鼎立商圈,3室2厅 | 94.03平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 5天以前发布,56,"5,956元/平"
御龙湾电梯洋房，一楼带院+地热水+地暖+地下储藏室,御龙湾 -海洋馆商圈,3室2厅 | 126.45平米 | 南 北 | 精装 | 低楼层(共5层)  | 板塔结合,0人关注 / 9天以前发布,145,"11,467元/平"
东边户采光好有集中供暖，看房方便有钥匙,星云山庄 -龙亭商圈,2室1厅 | 61平米 | 东南 南 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 11天以前发布,23,"3,771元/平"
三楼，户型通透，诚心售房，小区临金耀路，西环路,省一监西家属院 -鼎立商圈,3室1厅 | 76.4平米 | 南 | 简装 | 低楼层(共3层)  | 暂无数据,0人关注 / 15天以前发布,32,"4,189元/平"
祥和苑(重工路) 2室1厅 南 北,祥和苑(重工路) -顺河商圈,2室1厅 | 93.65平米 | 南 北 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 3天以前发布,43,"4,592元/平"
四大街精装三室大梁府有车位，房东急售，有钥匙,亚新大梁府 -北站商圈,3室2厅 | 116.57平米 | 南 北 | 其他 | 低楼层(共22层)  | 暂无数据,1人关注 / 7天以前发布,83,"7,121元/平"
黄河大街 阳光新天地 一楼 位置好,阳光新天地 -鼎立商圈,2室2厅 | 101平米 | 南 北 | 简装 | 低楼层(共7层)  | 板塔结合,0人关注 / 13天以前发布,65,"6,436元/平"
新世界三期，110万精装带家具家电，带储藏室无大税,晖达新世界三期 -西湖商圈,3室2厅 | 125.21平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,0人关注 / 16天以前发布,110,"8,786元/平"
此房位于二大街，紧挨东京大道，出行便利，高铁站近,晖达新世界紫檀 -西湖商圈,3室2厅 | 120.93平米 | 南 北 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 14天以前发布,85,"7,029元/平"
四大街大梁府好位置三室，位置好,亚新大梁府 -北站商圈,3室2厅 | 105平米 | 南 | 精装 | 低楼层(共22层)  | 暂无数据,0人关注 / 13天以前发布,78,"7,429元/平"
晖达新世界紫檀 4室2厅 南 北,晖达新世界紫檀 -西湖商圈,4室2厅 | 127平米 | 南 北 | 其他 | 高楼层(共18层)  | 板塔结合,2人关注 / 14天以前发布,86,"6,772元/平"
圣桦城精装三室价位便宜房东急卖,圣桦城 -青年城商圈,3室2厅 | 124.5平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 11天以前发布,88,"7,069元/平"
