标题,开发商,房子信息,发布信息,售价/万,单价
尚域世家 2室1厅 南,尚域世家 -老城,2室1厅 | 79.99平米 | 南 | 精装 | 中楼层(共15层)  | 板塔结合,0人关注 / 13天以前发布,83,"10,377元/平"
南北通透双阳台 带20平大平台 诚意出售,佳元·七彩澜湾 -老城,3室2厅 | 110.8平米 | 南 北 | 精装 | 中楼层(共22层)  | 板塔结合,0人关注 / 18天以前发布,130,"11,733元/平"
世界长寿之乡-澄迈-老城-天赐上湾,天赐上湾 -老城,2室2厅 | 76.64平米 | 东 东南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,79,"10,308元/平"
南北通透 户型方正  150米宽楼间距 诚意出售,南海之滨 -老城,2室1厅 | 86.7平米 | 南 北 | 简装 | 低楼层(共26层)  | 板楼,2人关注 / 2个月以前发布,87,"10,035元/平"
老城镇软件园旁，户型很方正。。。。。。,中华坊 -老城,5室2厅 | 271.64平米 | 南 | 简装 | 4层  | 板塔结合 | 联排别墅 ,9人关注 / 8个月以前发布,480,"17,671元/平"
盈滨半岛旅游度假区-央企大盘-鲁能海蓝福源,鲁能海蓝福源 -老城,3室2厅 | 149.11平米 | 南 北 | 其他 | 低楼层(共2层)  | 板塔结合,0人关注 / 12天以前发布,190,"12,743元/平"
凤凰城A区，软件园一期，小区有泳池，,冠永凤凰城A区 -老城,2室2厅 | 76.26平米 | 北 | 精装 | 中楼层(共17层)  | 板塔结合,0人关注 / 1个月以前发布,79.5,"10,425元/平"
福隆丽水湾二期 ，方正倆房 高品质社区环境好，,福隆丽水湾2期 -老城,2室2厅 | 74.3平米 | 北 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 1个月以前发布,76,"10,229元/平"
：此房高楼层，视线辽阔 没有遮挡 小区环境优雅,鲁能海蓝福源 -老城,2室2厅 | 77平米 | 南 | 简装 | 中楼层(共18层)  | 板楼,0人关注 / 12天以前发布,77,"10,000元/平"
老城 北外旁 福隆丽水湾 两房 毛坯 南向,福隆·丽水湾 -老城,2室2厅 | 81.11平米 | 南 西北 | 毛坯 | 高楼层(共24层)  | 塔楼,0人关注 / 11天以前发布,63,"7,768元/平"
房子满五唯一 无高税 楼层好 看小区园林 东南向双阳台,盈滨海岸 -老城,2室2厅 | 87.06平米 | 东南 | 其他 | 中楼层(共15层)  | 塔楼,0人关注 / 1个月以前发布,94,"10,798元/平"
澄迈恒大御景湾 89平朝南两房 全明户型 格局好,恒大御景湾 -老城,2室2厅 | 89平米 | 西 | 精装 | 低楼层(共18层)  | 板塔结合,6人关注 / 一年前发布,85,"9,551元/平"
楼层好，采光通风好，户型方正，小区成熟,工大嘉园 -老城,3室2厅 | 96.96平米 | 南 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,118,"12,170元/平"
海南省澄迈县老城镇绿生花园3房邻软件园,盈滨绿生花园 -老城,3室2厅 | 93平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 15天以前发布,100,"10,753元/平"
老城不看后悔的校区大社区环境好建筑主体优秀适合居住,碧海·金珠花园 -老城,3室2厅 | 124.09平米 | 南 北 | 简装 | 高楼层(共24层)  | 板塔结合,1人关注 / 4个月以前发布,155,"12,491元/平"
海口西温泉社区，精装两居，全新装修。,盈滨绿生花园 -老城,2室1厅 | 79.64平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 12天以前发布,87,"10,925元/平"
