标题,开发商,房子信息,发布信息,售价/万,单价
13年新社区，小区管理严格，户型方正，出行便利,建华温泉公寓二区 -五一广场,3室1厅 | 105.51平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 塔楼,2人关注 / 一年前发布,375,"35,542元/平"
达道地铁站口全景闽江之心住宅小户型出售,鸿雁大厦 -瀛洲红星,1室1厅 | 43.15平米 | 南 | 精装 | 高楼层(共31层)  | 板塔结合,0人关注 / 9天以前发布,80,"18,540元/平"
此房满二年，带装修的，单价低总价低,贵安新天地贵邸苑 -贵安,3室1厅 | 77.89平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 31天以前发布,52,"6,677元/平"
电梯高层，98平，3房朝南，无遮挡，进门入户花园,中庚城西区 -榕城广场,3室2厅 | 98.15平米 | 东南 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 3个月以前发布,313,"31,890元/平"
新泰禾旁 双DT 鼓楼后花园 拎包入住户型双阳台,家天下三木城A区 -五四北,3室2厅 | 95.49平米 | 南 北 | 精装 | 低楼层(共10层)  | 塔楼,0人关注 / 1个月以前发布,220,"23,040元/平"
名郡 3室2厅 南,名郡 -江滨东大道(快安）,3室2厅 | 85.89平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 7天以前发布,119.9,"13,960元/平"
象峰地铁口 i33城市广场 五四北泰禾 象峰新苑,象峰新苑 -五四北,3室2厅 | 107.96平米 | 东南 | 简装 | 中楼层(共32层)  | 板楼,1人关注 / 1个月以前发布,170,"15,747元/平"
五四北泰禾旁，配套齐全，低总价三房，出行方便,秀北小区 -五四北,3室2厅 | 89.7平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,37人关注 / 一年前发布,149,"16,611元/平"
出门地铁和金山公园，端头户型，双明卫，三个阳台,中庚国际华府 -金山公园,4室2厅 | 129.86平米 | 东南 | 精装 | 低楼层(共10层)  | 板塔结合,17人关注 / 5个月以前发布,369,"28,416元/平"
金凤新苑高层3房，社区安静位置，出行方便,金凤新苑 -金山奥体,3室2厅 | 108.87平米 | 东南 | 毛坯 | 中楼层(共27层)  | 暂无数据,1人关注 / 5个月以前发布,178,"16,350元/平"
不沿街，不沿庙。万达地铁口旁新社区，刚需中装。,金建小区三区 -浦上大道（金山万达）,3室2厅 | 105.55平米 | 南 北 | 精装 | 低楼层(共28层)  | 塔楼,1人关注 / 1个月以前发布,204,"19,328元/平"
