标题,开发商,房子信息,发布信息,售价/万,单价
宝能太古城 4室2厅 南,宝能太古城 -章江新区,4室2厅 | 135平米 | 南 | 其他 | 高楼层(共30层)  | 板楼,0人关注 / 3天以前发布,249,"18,445元/平"
契税满五 房东急售 急售 毛坯五房 可看江景 通透,世纪嘉园 -章江新区,4室2厅 | 141.88平米 | 南 | 毛坯 | 中楼层(共27层)  | 板塔结合,1人关注 / 11天以前发布,222,"15,648元/平"
一线江景电梯房户型方正好楼层交通便利生活方便,财富港 -章江新区,4室2厅 | 147.38平米 | 东南 | 精装 | 高楼层(共29层)  | 塔楼,1人关注 / 7天以前发布,147,"9,975元/平"
嘉福一线江景精装修大三房，拎包入住，省优物业,嘉福•尚江尊品二期 -章江新区,3室2厅 | 120平米 | 西南 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 6天以前发布,216,"18,000元/平"
户型方正，楼层好，5居室、低总价 采光充足,彩虹城二期 -赣县区,5室2厅 | 121.22平米 | 南 | 毛坯 | 高楼层(共30层)  | 暂无数据,0人关注 / 6天以前发布,97.5,"8,044元/平"
嘉福•尚江尊品一期 3室2厅 南,嘉福•尚江尊品一期 -章江新区,3室2厅 | 132平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 7天以前发布,230,"17,425元/平"
如意花园 4室1厅 南,如意花园 -老城区,4室1厅 | 135.04平米 | 南 | 其他 | 中楼层(共8层)  | 板楼,0人关注 / 4天以前发布,79.8,"5,910元/平"
联发君玺 4室2厅 南,联发君玺 -黄金开发区,4室2厅 | 138.98平米 | 南 | 毛坯 | 低楼层(共9层)  | 板楼,0人关注 / 7天以前发布,210,"15,111元/平"
户型通透格局好，楼层好，视野开阔，采光充足，,福荣·香格里拉小区 -黄金开发区,3室1厅 | 105平米 | 南 | 毛坯 | 中楼层(共5层)  | 板塔结合,1人关注 / 31天以前发布,118,"11,239元/平"
一线江景，嘉福尚江府，中间楼层四房,嘉福尚江府 -黄金开发区,4室2厅 | 136平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 一年前发布,199.8,"14,692元/平"
中海东郡必卖房源，采光好，户型方正,中海国际社区东郡B区 -章江新区,3室2厅 | 113.9平米 | 东南 | 精装 | 低楼层(共27层)  | 板塔结合,2人关注 / 一年前发布,143.8,"12,626元/平"
凯华白鹭湾五区 4室2厅 东南,凯华白鹭湾五区 -赣县区,4室2厅 | 139.9平米 | 东南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 16天以前发布,128.6,"9,193元/平"
格局好，采光充足配套设施齐全交通便利,巨亿城 -老城区,5室1厅 | 132平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,0人关注 / 1个月以前发布,152,"11,516元/平"
房东诚意出售，没有尾款，看房方便，户型好,铂悦公馆 -章江新区,4室2厅 | 117平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,0人关注 / 11天以前发布,230,"19,659元/平"
源盛城市公园 南北双阳台 湿地公园旁,源盛公园里 -赣县区,4室2厅 | 141平米 | 南 | 毛坯 | 低楼层(共24层)  | 暂无数据,0人关注 / 8天以前发布,100,"7,093元/平"
