标题,开发商,房子信息,发布信息,售价/万,单价
阳光六层，精装两居，户型方正，价格美丽,税苑小区 -金桥商圈,2室2厅 | 114.1平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,13人关注 / 10个月以前发布,85,"7,450元/平"
奈伦国际 6室2厅 南,奈伦国际 -光华街商圈,6室2厅 | 324平米 | 南 | 其他 | 高楼层(共25层)  | 板楼,1人关注 / 7天以前发布,300,"9,260元/平"
爱民街 武警小区  呼哈路  精装修,爱民街武警小区 -阿尔泰商圈,3室1厅 | 91.69平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,4人关注 / 一年前发布,86,"9,380元/平"
西万达商圈 价格适合 交通便利 出行方便,恒大雅苑 -西万达商圈,4室2厅 | 166.18平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,14人关注 / 一年前发布,140,"8,425元/平"
东岸精装一楼带地下，三卧朝阳无挡采光好,东岸国际一期 -东岸商圈,4室2厅 | 258.34平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,71人关注 / 一年前发布,310,"12,000元/平"
荣盛·楠湖郦舍 3室1厅 南 北,荣盛·楠湖郦舍 -南湖商圈,3室1厅 | 91.5平米 | 南 北 | 精装 | 低楼层(共31层)  | 板楼,0人关注 / 2个月以前发布,80,"8,744元/平"
两年外房本，楼层好，采光棒，南北通透大三居,万达广场二期四组团 -万达商圈,3室2厅 | 139.6平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,16人关注 / 一年前发布,164,"11,748元/平"
光华街 摩尔城 养老楼层 好户型,电动小区 -光华街商圈,2室2厅 | 83.47平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,8人关注 / 7个月以前发布,76,"9,106元/平"
中间楼层  出门地铁口   看房方便,开源小区 -新华商圈,2室2厅 | 94.47平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,9人关注 / 一年前发布,90,"9,527元/平"
万达广场旁万博华景小区 居住安全舒适 设施完善齐全,萬博華景 -西万达商圈,2室1厅 | 91平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,4人关注 / 4个月以前发布,92,"10,110元/平"
人民路18 锡 满五3楼大客厅 卫浴分室 不占户 随时看房,世纪阳光花园 -呼伦路商圈,3室2厅 | 118.44平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,130,"10,977元/平"
牧机所中间楼层有房本可贷款南门外,牧机所小区 -南门外商圈,2室1厅 | 77.59平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,3人关注 / 4个月以前发布,77,"9,924元/平"
中海，居优雅地，御龙湾你值得拥有！,中海御龙湾 -中海商圈,5室2厅 | 280平米 | 南 北 | 精装 | 低楼层(共30层)  | 板楼,7人关注 / 6个月以前发布,380.8,"13,600元/平"
洋房1楼，视野好，户型南北通透，采光通风佳。,半山半水 -金川开发区,5室2厅 | 325.36平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 板楼,15人关注 / 一年前发布,120,"3,689元/平"
亿科·公元2010 2室1厅 南 北,亿科·公元2010 -南门外商圈,2室1厅 | 117.84平米 | 南 北 | 精装 | 低楼层(共25层)  | 板楼,0人关注 / 3个月以前发布,145,"12,305元/平"
南门外 单价低 五年外空户可贷 停车方便 采光好适陪读,公交综合小区 -南门外商圈,2室0厅 | 72.43平米 | 南 北 | 简装 | 低楼层(共4层)  | 板楼,0人关注 / 8天以前发布,86,"11,874元/平"
