标题,开发商,房子信息,发布信息,售价/万,单价
都景蝶园 3室2厅 南 北,都景蝶园 -金东区,3室2厅 | 89平米 | 南 北 | 其他 | 中楼层(共7层)  | 塔楼,0人关注 / 1天以前发布,99,"11,124元/平"
（新城云昱）96平，满2年南北通透三面采光，看房随时,新城云昱 -金义都市新区,3室2厅 | 96平米 | 南 北 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 2天以前发布,110,"11,459元/平"
金义红星天铂铂宇花园环境好适合居住精装修带车位,红星金义天铂 -金义都市新区,3室1厅 | 88平米 | 南 | 精装 | 高楼层(共27层)  | 暂无数据,0人关注 / 24天以前发布,135,"15,341元/平"
紫荆庄园 精装修 两室两厅 中间层视野开阔 看房方便,紫荆庄园 -东阳市,2室1厅 | 104平米 | 南 北 | 精装 | 中楼层(共29层)  | 板楼,0人关注 / 3天以前发布,138,"13,270元/平"
满两年带装修，均价1个W，带车位，房东诚心出售！！,海伦堡珺玥府 -金义都市新区,3室2厅 | 133平米 | 南 | 精装 | 中楼层(共9层)  | 板塔结合,0人关注 / 11天以前发布,138,"10,376元/平"
楼层好，视野宽阔，采光充足，配套设施齐全，交通方便,新城云昱 -金义都市新区,4室1厅 | 113平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,138,"12,213元/平"
三开间朝南双阳台纯边套居住舒适,水岸家园 -义乌市,3室2厅 | 142平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,15人关注 / 5个月以前发布,157.9,"11,120元/平"
必看好房、星河湾精装   带附房只要128万拎包入住,星河湾 -婺城新区,2室1厅 | 83.88平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,88,"10,492元/平"
满2年， 看房方便，电梯房，楼层好，小区环境好。。。,金厦银湖城 -婺城新区,3室2厅 | 88平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,128,"14,546元/平"
低首付，可满二过户，精装修带车位 边套！！！！,红星金义天铂 -金义都市新区,3室2厅 | 96平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,0人关注 / 1个月以前发布,148,"15,417元/平"
