标题,开发商,房子信息,发布信息,售价/万,单价
中华园大三房 户型方正 采光通风好 满五唯一税费低,中华园教师村 -鹤山市,3室2厅 | 106.59平米 | 南 | 精装 | 高楼层(共8层)  | 板楼,1人关注 / 12天以前发布,19.5,"1,830元/平"
良化新村西 3室1厅 南 北,良化新村西 -良化北街,3室1厅 | 72.99平米 | 南 北 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,48.8,"6,686元/平"
诚心售，看房方便，户口没占用，即买即入住。,新会碧桂园·柏丽郡 -枢纽新城,3室1厅 | 90.98平米 | 南 北 | 精装 | 高楼层(共24层)  | 平房,1人关注 / 27天以前发布,88,"9,673元/平"
新华城稀有飞机户型  位置好无遮挡，南向采光好，笋价,鹤山新华城 -鹤山市,4室2厅 | 131.74平米 | 南 | 毛坯 | 低楼层(共30层)  | 塔楼,1人关注 / 31天以前发布,90.5,"6,870元/平"
良化北小区管理 南北对流 2房2厅 精装修 05年竣工,良化新村北 -良化北街,2室2厅 | 95.81平米 | 南 北 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 8天以前发布,62.3,"6,503元/平"
房子新精装修，看房方便，户型价格美丽,天河西路 -双龙,3室2厅 | 89平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 8天以前发布,32.8,"3,686元/平"
方直·珑湖湾 3室2厅 南,方直·珑湖湾 -滨江新区,3室2厅 | 97平米 | 南 | 精装 | 中楼层(共27层)  | 塔楼,0人关注 / 8天以前发布,110,"11,341元/平"
国家4A级大雁山风景区脚下的房不近路  四房带装修,时代倾城（鹤山） -鹤山市,4室2厅 | 112.11平米 | 南 | 精装 | 低楼层(共21层)  | 板塔结合,1人关注 / 8天以前发布,67,"5,977元/平"
低价诚心出售，实用三居，览小区园林，清静宜居,珠江御景山庄 -滨江新区,3室2厅 | 96.32平米 | 东北 | 毛坯 | 中楼层(共29层)  | 塔楼,0人关注 / 13天以前发布,86,"8,929元/平"
聚德花园 3室2厅 南,聚德花园 -育德,3室2厅 | 85平米 | 南 | 精装 | 高楼层(共8层)  | 板楼,0人关注 / 9天以前发布,50,"5,883元/平"
保利旁，金禧花园 电梯精装洋房3房,金禧花园 -经济开发,3室2厅 | 96.22平米 | 南 | 精装 | 低楼层(共27层)  | 暂无数据,0人关注 / 1个月以前发布,70,"7,275元/平"
大面积精装四房，带精装，业主自己装修的,江海碧桂园 -外海,4室2厅 | 200.41平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,11人关注 / 一年前发布,140,"6,986元/平"
低于发票价出售鹤山时代倾城带装修电梯3房   南向.,时代倾城（鹤山） -鹤山市,3室2厅 | 90.55平米 | 东 南 | 精装 | 低楼层(共21层)  | 板塔结合,7人关注 / 6个月以前发布,59.8,"6,605元/平"
抛网苑 3室1厅 东南,抛网苑 -鹤山市,3室1厅 | 108.92平米 | 东南 | 简装 | 中楼层(共7层)  | 暂无数据,5人关注 / 4个月以前发布,43,"3,948元/平"
满五不唯一、户型朝南，视野宽阔， 配套齐全,聚德街 -育德,3室2厅 | 106平米 | 南 | 简装 | 中楼层(共8层)  | 暂无数据,1人关注 / 8个月以前发布,58,"5,472元/平"
全新精装三房低楼层，对流通风光线好,怡居苑 -育德,3室1厅 | 87.14平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,1人关注 / 2个月以前发布,66.5,"7,632元/平"
低层，低层，市区地段，出入很方便。。。,良化里 -良化北街,3室1厅 | 78.74平米 | 北 | 简装 | 中楼层(共8层)  | 板楼,1人关注 / 5个月以前发布,42,"5,335元/平"
南景华府步梯中层洋房 旺中带净 保养新净 欢迎看房,南景华府 -鹤山市,3室2厅 | 103.76平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,3人关注 / 8个月以前发布,62.5,"6,024元/平"
鹤山市新升苑 三房二厅带套间 拎包入住,新升苑 -鹤山市,3室2厅 | 84.54平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,3人关注 / 1个月以前发布,22,"2,603元/平"
北新区 怡康华庭 精装修大4房2厅2卫,怡康华庭 -北新区,4室2厅 | 149.5平米 | 南 北 | 精装 | 高楼层(共11层)  | 塔楼,4人关注 / 7个月以前发布,126,"8,429元/平"
银山花园三房顶层带大露台无坯房,银山花苑 -鹤山市,3室2厅 | 94.81平米 | 西南 | 毛坯 | 高楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,25,"2,637元/平"
市区华侨新邨中层两房，南向户型，装修新保养好采光好,华桥新村 -鹤山市,2室2厅 | 81.45平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,21人关注 / 10个月以前发布,14.5,"1,781元/平"
尚城雅居 毛坯 业主诚心出售 价钱靓,尚城雅居 -鹤山市,3室2厅 | 130.79平米 | 南 | 毛坯 | 中楼层(共11层)  | 塔楼,11人关注 / 一年前发布,55,"4,206元/平"
恒辉花园大三房 高楼层采光通风好 配套齐全,恒晖花园 -鹤山市,3室2厅 | 130.54平米 | 南 | 精装 | 高楼层(共8层)  | 板塔结合,1人关注 / 1个月以前发布,24.8,"1,900元/平"
房子保养新净带大阳台，实用面积大，配套齐全,莱茵花园 -鹤山市,3室2厅 | 110.85平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,42,"3,789元/平"
莱茵华庭中层纯望绿荫的园林景观,莱茵华庭 -北新区,3室2厅 | 120平米 | 北 | 毛坯 | 低楼层(共27层)  | 塔楼,5人关注 / 8个月以前发布,125,"10,417元/平"
华山苑，总价低，位置好，大三房，随时看房,华山苑 -鹤山市,3室2厅 | 108.03平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,9人关注 / 2个月以前发布,17.8,"1,648元/平"
育德商区 大三房 南北通 满五唯一户型方正 拎包入住,育德西小区 -育德,3室2厅 | 113.23平米 | 南 | 简装 | 中楼层(共8层)  | 塔楼,22人关注 / 一年前发布,57,"5,035元/平"
精装未入住，方正四房户型，业主诚心出售,珠江御景山庄 -滨江新区,4室2厅 | 137.36平米 | 北 | 精装 | 低楼层(共32层)  | 塔楼,1人关注 / 一年前发布,136,"9,901元/平"
低楼层，南北对流4房带套间  全新装修，拧包入住,幸福新村 -白沙农林,4室2厅 | 97.6平米 | 南 北 | 精装 | 低楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,63.8,"6,537元/平"
滨江，保利中悦花园，162方，毛坯，诚意出售,保利·中悦花园 -滨江新区,4室2厅 | 162平米 | 东南 | 毛坯 | 中楼层(共33层)  | 塔楼,6人关注 / 一年前发布,195,"12,038元/平"
